           r/a             r           psi            ff             q
 0.345000000E+00 0.201442431E+00 0.562782990E-01 0.345485604E+01 0.107471778E+01
 0.350000000E+00 0.204361887E+00 0.577733710E-01 0.345396134E+01 0.108149859E+01
 0.355000000E+00 0.207281342E+00 0.592825475E-01 0.345307001E+01 0.108841246E+01
 0.360000000E+00 0.210200798E+00 0.608055814E-01 0.345218219E+01 0.109545620E+01
 0.365000000E+00 0.213120254E+00 0.623422247E-01 0.345129800E+01 0.110263445E+01
 0.370000000E+00 0.216039709E+00 0.638922311E-01 0.345041758E+01 0.110995073E+01
 0.375000000E+00 0.218959165E+00 0.654553535E-01 0.344954108E+01 0.111740353E+01
 0.380000000E+00 0.221878620E+00 0.670313456E-01 0.344866861E+01 0.112499704E+01
 0.385000000E+00 0.224798076E+00 0.686199615E-01 0.344780032E+01 0.113273333E+01
 0.390000000E+00 0.227717531E+00 0.702209561E-01 0.344693634E+01 0.114061167E+01
 0.395000000E+00 0.230636987E+00 0.718340852E-01 0.344607679E+01 0.114863654E+01
 0.400000000E+00 0.233556442E+00 0.734591064E-01 0.344522181E+01 0.115680858E+01
 0.405000000E+00 0.236475898E+00 0.750957790E-01 0.344437150E+01 0.116512727E+01
 0.410000000E+00 0.239395353E+00 0.767438638E-01 0.344352600E+01 0.117359614E+01
 0.415000000E+00 0.242314809E+00 0.784031245E-01 0.344268540E+01 0.118221515E+01
 0.420000000E+00 0.245234264E+00 0.800733273E-01 0.344184982E+01 0.119098299E+01
 0.425000000E+00 0.248153720E+00 0.817542411E-01 0.344101934E+01 0.119990225E+01
 0.430000000E+00 0.251073175E+00 0.834456391E-01 0.344019405E+01 0.120897215E+01
 0.435000000E+00 0.253992631E+00 0.851472984E-01 0.343937403E+01 0.121818959E+01
 0.440000000E+00 0.256912086E+00 0.868590017E-01 0.343855934E+01 0.122755592E+01
 0.445000000E+00 0.259831542E+00 0.885805359E-01 0.343775002E+01 0.123706822E+01
 0.450000000E+00 0.262750998E+00 0.903116941E-01 0.343694610E+01 0.124672233E+01
 0.455000000E+00 0.265670453E+00 0.920522777E-01 0.343614758E+01 0.125651622E+01
 0.460000000E+00 0.268589909E+00 0.938020941E-01 0.343535447E+01 0.126644493E+01
 0.465000000E+00 0.271509364E+00 0.955609604E-01 0.343456673E+01 0.127650142E+01
 0.470000000E+00 0.274428820E+00 0.973287030E-01 0.343378432E+01 0.128668131E+01
 0.475000000E+00 0.277348275E+00 0.991051567E-01 0.343300722E+01 0.129697958E+01
 0.480000000E+00 0.280267731E+00 0.100890164E+00 0.343223540E+01 0.130739090E+01
 0.485000000E+00 0.283187186E+00 0.102683574E+00 0.343146885E+01 0.131791232E+01
 0.490000000E+00 0.286106642E+00 0.104485243E+00 0.343070757E+01 0.132854144E+01
 0.495000000E+00 0.289026097E+00 0.106295033E+00 0.342995156E+01 0.133927477E+01
 0.500000000E+00 0.291945553E+00 0.108112811E+00 0.342920084E+01 0.135011043E+01
 0.505000000E+00 0.294865008E+00 0.109938449E+00 0.342845542E+01 0.136104770E+01
 0.510000000E+00 0.297784464E+00 0.111771823E+00 0.342771531E+01 0.137208512E+01
 0.515000000E+00 0.300703919E+00 0.113612813E+00 0.342698056E+01 0.138322173E+01
 0.520000000E+00 0.303623375E+00 0.115461302E+00 0.342625120E+01 0.139445805E+01
 0.525000000E+00 0.306542830E+00 0.117317176E+00 0.342552726E+01 0.140579407E+01
 0.530000000E+00 0.309462286E+00 0.119180323E+00 0.342480880E+01 0.141722987E+01
 0.535000000E+00 0.312381742E+00 0.121050635E+00 0.342409585E+01 0.142876670E+01
 0.540000000E+00 0.315301197E+00 0.122928006E+00 0.342338849E+01 0.144040608E+01
 0.545000000E+00 0.318220653E+00 0.124812330E+00 0.342268675E+01 0.145214908E+01
 0.550000000E+00 0.321140108E+00 0.126703503E+00 0.342199071E+01 0.146399736E+01
 0.555000000E+00 0.324059564E+00 0.128601423E+00 0.342130043E+01 0.147595340E+01
 0.560000000E+00 0.326979019E+00 0.130505990E+00 0.342061597E+01 0.148801934E+01
 0.565000000E+00 0.329898475E+00 0.132417102E+00 0.341993742E+01 0.150019782E+01
 0.570000000E+00 0.332817930E+00 0.134334661E+00 0.341926483E+01 0.151249137E+01
 0.575000000E+00 0.335737386E+00 0.136258567E+00 0.341859830E+01 0.152490347E+01
 0.580000000E+00 0.338656841E+00 0.138188722E+00 0.341793788E+01 0.153743721E+01
 0.585000000E+00 0.341576297E+00 0.140125028E+00 0.341728367E+01 0.155009603E+01
 0.590000000E+00 0.344495752E+00 0.142067387E+00 0.341663573E+01 0.156288357E+01
 0.595000000E+00 0.347415208E+00 0.144015700E+00 0.341599417E+01 0.157580407E+01
 0.600000000E+00 0.350334663E+00 0.145969871E+00 0.341535905E+01 0.158886143E+01
 0.605000000E+00 0.353254119E+00 0.147929801E+00 0.341473046E+01 0.160205993E+01
 0.610000000E+00 0.356173574E+00 0.149895391E+00 0.341410849E+01 0.161540450E+01
 0.615000000E+00 0.359093030E+00 0.151866544E+00 0.341349323E+01 0.162889952E+01
 0.620000000E+00 0.362012485E+00 0.153843162E+00 0.341288475E+01 0.164254994E+01
 0.625000000E+00 0.364931941E+00 0.155825144E+00 0.341228315E+01 0.165636138E+01
 0.630000000E+00 0.367851397E+00 0.157812392E+00 0.341168851E+01 0.167033892E+01
 0.635000000E+00 0.370770852E+00 0.159804805E+00 0.341110093E+01 0.168448813E+01
 0.640000000E+00 0.373690308E+00 0.161802284E+00 0.341052047E+01 0.169881516E+01
 0.645000000E+00 0.376609763E+00 0.163804728E+00 0.340994724E+01 0.171332582E+01
 0.650000000E+00 0.379529219E+00 0.165812036E+00 0.340938132E+01 0.172802657E+01
 0.655000000E+00 0.382448674E+00 0.167824105E+00 0.340882280E+01 0.174292427E+01
 0.660000000E+00 0.385368130E+00 0.169840833E+00 0.340827177E+01 0.175802499E+01
 0.665000000E+00 0.388287585E+00 0.171862117E+00 0.340772830E+01 0.177333672E+01
 0.670000000E+00 0.391207041E+00 0.173887854E+00 0.340719249E+01 0.178886622E+01
 0.675000000E+00 0.394126496E+00 0.175917938E+00 0.340666442E+01 0.180462135E+01
 0.680000000E+00 0.397045952E+00 0.177952265E+00 0.340614416E+01 0.182061048E+01
 0.685000000E+00 0.399965407E+00 0.179990729E+00 0.340563181E+01 0.183684130E+01
 0.690000000E+00 0.402884863E+00 0.182033224E+00 0.340512745E+01 0.185332311E+01
 0.695000000E+00 0.405804318E+00 0.184079643E+00 0.340463117E+01 0.187006428E+01
 0.700000000E+00 0.408723774E+00 0.186129877E+00 0.340414304E+01 0.188707449E+01
 0.705000000E+00 0.411643229E+00 0.188183819E+00 0.340366314E+01 0.190436368E+01
 0.710000000E+00 0.414562685E+00 0.190241360E+00 0.340319156E+01 0.192194192E+01
 0.715000000E+00 0.417482141E+00 0.192302388E+00 0.340272836E+01 0.193982038E+01
 0.720000000E+00 0.420401596E+00 0.194366794E+00 0.340227364E+01 0.195800950E+01
 0.725000000E+00 0.423321052E+00 0.196434468E+00 0.340182746E+01 0.197652165E+01
 0.730000000E+00 0.426240507E+00 0.198505295E+00 0.340138991E+01 0.199536871E+01
 0.735000000E+00 0.429159963E+00 0.200579164E+00 0.340096107E+01 0.201456376E+01
 0.740000000E+00 0.432079418E+00 0.202655960E+00 0.340054100E+01 0.203412013E+01
 0.745000000E+00 0.434998874E+00 0.204735571E+00 0.340012978E+01 0.205405220E+01
 0.750000000E+00 0.437918329E+00 0.206817880E+00 0.339972749E+01 0.207437516E+01
 0.755000000E+00 0.440837785E+00 0.208902772E+00 0.339933421E+01 0.209510492E+01
 0.760000000E+00 0.443757240E+00 0.210990131E+00 0.339895001E+01 0.211625760E+01
 0.765000000E+00 0.446676696E+00 0.213079838E+00 0.339857495E+01 0.213785099E+01
 0.770000000E+00 0.449596151E+00 0.215171777E+00 0.339820914E+01 0.215990386E+01
 0.775000000E+00 0.452515607E+00 0.217265827E+00 0.339785262E+01 0.218243538E+01
