    1   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
    2   0.16909E-05   0.26012E-05   0.46845E-05   0.38972E-05   0.23247E-05   0.35728E-05   0.30269E-05   0.28375E-05
    3   0.67635E-05   0.10406E-04   0.18737E-04   0.15581E-04   0.92952E-05   0.14284E-04   0.12106E-04   0.11352E-04
    4   0.15219E-04   0.23419E-04   0.42157E-04   0.35043E-04   0.20911E-04   0.32129E-04   0.27235E-04   0.25549E-04
    5   0.27057E-04   0.41642E-04   0.74942E-04   0.62276E-04   0.37169E-04   0.57098E-04   0.48413E-04   0.45431E-04
    6   0.42278E-04   0.65077E-04   0.11709E-03   0.97268E-04   0.58069E-04   0.89184E-04   0.75637E-04   0.71001E-04
    7   0.60882E-04   0.93727E-04   0.16859E-03   0.14001E-03   0.83609E-04   0.12838E-03   0.10890E-03   0.10226E-03
    8   0.82869E-04   0.12759E-03   0.22945E-03   0.19049E-03   0.11378E-03   0.17467E-03   0.14821E-03   0.13921E-03
    9   0.10824E-03   0.16668E-03   0.29964E-03   0.24869E-03   0.14859E-03   0.22805E-03   0.19355E-03   0.18186E-03
   10   0.13699E-03   0.21098E-03   0.37917E-03   0.31460E-03   0.18804E-03   0.28851E-03   0.24492E-03   0.23021E-03
   11   0.16913E-03   0.26051E-03   0.46802E-03   0.38821E-03   0.23210E-03   0.35604E-03   0.30231E-03   0.28425E-03
   12   0.20464E-03   0.31525E-03   0.56618E-03   0.46950E-03   0.28080E-03   0.43062E-03   0.36572E-03   0.34399E-03
   13   0.24354E-03   0.37521E-03   0.67363E-03   0.55846E-03   0.33411E-03   0.51224E-03   0.43514E-03   0.40943E-03
   14   0.28582E-03   0.44040E-03   0.79037E-03   0.65506E-03   0.39203E-03   0.60089E-03   0.51057E-03   0.48057E-03
   15   0.33147E-03   0.51080E-03   0.91637E-03   0.75930E-03   0.45457E-03   0.69654E-03   0.59199E-03   0.55740E-03
   16   0.38051E-03   0.58643E-03   0.10516E-02   0.87115E-03   0.52172E-03   0.79920E-03   0.67940E-03   0.63993E-03
   17   0.43292E-03   0.66727E-03   0.11961E-02   0.99059E-03   0.59347E-03   0.90884E-03   0.77278E-03   0.72816E-03
   18   0.48871E-03   0.75333E-03   0.13498E-02   0.11176E-02   0.66981E-03   0.10254E-02   0.87214E-03   0.82208E-03
